ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History15AdminRequest	history15adminrequest	1590485824931	 	3.3.1
REQUEST	22		jquery-ui.min.js	1590485827865	1590485827916	OK	 
USER	Reject	23	START	1590485827995	1590485827995
REQUEST	23		Home	1590485827996	1590485828000	OK	 
REQUEST	23		favicon.png	1590485828004	1590485828011	OK	 
USER	Accept	10	START	1590485828011	1590485828011
REQUEST	10		Home	1590485828012	1590485828018	OK	 
REQUEST	23		jquery.min.js	1590485828012	1590485828025	OK	 
REQUEST	23		jquery-ui.min.css	1590485828005	1590485828027	OK	 
REQUEST	23		jquery-ui.theme.min.css	1590485828006	1590485828033	OK	 
REQUEST	23		jquery-ui.min.js	1590485828027	1590485828039	OK	 
REQUEST	23		bootstrap.min.js	1590485828028	1590485828039	OK	 
REQUEST	10		jquery-ui.min.css	1590485828024	1590485828044	OK	 
REQUEST	10		jquery-ui.theme.min.css	1590485828025	1590485828048	OK	 
REQUEST	10		favicon.png	1590485828023	1590485828050	OK	 
REQUEST	10		jquery.min.js	1590485828046	1590485828053	OK	 
REQUEST	10		petclinic.css	1590485828023	1590485828055	OK	 
REQUEST	10		pets.png	1590485828027	1590485828058	OK	 
REQUEST	10		jquery-ui.min.js	1590485828049	1590485828059	OK	 
REQUEST	10		bootstrap.min.js	1590485828050	1590485828060	OK	 
REQUEST	10		spring-pivotal-logo.png	1590485828028	1590485828061	OK	 
REQUEST	23		spring-pivotal-logo.png	1590485828007	1590485828061	OK	 
REQUEST	23		pets.png	1590485828007	1590485828062	OK	 
REQUEST	23		petclinic.css	1590485828004	1590485828063	OK	 
USER	Reject	24	START	1590485828169	1590485828169
REQUEST	24		Home	1590485828170	1590485828180	OK	 
USER	Accept	11	START	1590485828180	1590485828180
REQUEST	11		Home	1590485828182	1590485828190	OK	 
REQUEST	24		jquery-ui.min.css	1590485828196	1590485828231	OK	 
REQUEST	24		jquery-ui.theme.min.css	1590485828198	1590485828233	OK	 
REQUEST	11		jquery-ui.theme.min.css	1590485828213	1590485828234	OK	 
REQUEST	11		jquery-ui.min.css	1590485828211	1590485828238	OK	 
REQUEST	24		jquery.min.js	1590485828232	1590485828254	OK	 
REQUEST	11		jquery.min.js	1590485828235	1590485828259	OK	 
REQUEST	24		jquery-ui.min.js	1590485828234	1590485828259	OK	 
REQUEST	24		bootstrap.min.js	1590485828255	1590485828263	OK	 
REQUEST	11		bootstrap.min.js	1590485828260	1590485828267	OK	 
REQUEST	24		favicon.png	1590485828193	1590485828269	OK	 
REQUEST	11		jquery-ui.min.js	1590485828253	1590485828270	OK	 
REQUEST	24		spring-pivotal-logo.png	1590485828201	1590485828272	OK	 
REQUEST	24		petclinic.css	1590485828194	1590485828273	OK	 
REQUEST	24		pets.png	1590485828199	1590485828276	OK	 
REQUEST	11		favicon.png	1590485828207	1590485828278	OK	 
REQUEST	11		spring-pivotal-logo.png	1590485828217	1590485828279	OK	 
REQUEST	11		pets.png	1590485828216	1590485828281	OK	 
REQUEST	11		petclinic.css	1590485828208	1590485828283	OK	 
USER	Reject	25	START	1590485828337	1590485828337
REQUEST	25		Home	1590485828338	1590485828341	OK	 
REQUEST	25		jquery-ui.min.css	1590485828347	1590485828357	OK	 
REQUEST	25		jquery-ui.theme.min.css	1590485828348	1590485828362	OK	 
REQUEST	25		jquery.min.js	1590485828358	1590485828367	OK	 
USER	Accept	12	START	1590485828369	1590485828369
REQUEST	25		jquery-ui.min.js	1590485828363	1590485828372	OK	 
REQUEST	12		Home	1590485828370	1590485828375	OK	 
REQUEST	25		bootstrap.min.js	1590485828367	1590485828375	OK	 
REQUEST	25		spring-pivotal-logo.png	1590485828349	1590485828385	OK	 
REQUEST	12		jquery-ui.min.css	1590485828381	1590485828393	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590485828381	1590485828397	OK	 
REQUEST	12		jquery.min.js	1590485828394	1590485828402	OK	 
REQUEST	12		bootstrap.min.js	1590485828403	1590485828408	OK	 
REQUEST	12		jquery-ui.min.js	1590485828398	1590485828411	OK	 
REQUEST	25		favicon.png	1590485828346	1590485828412	OK	 
REQUEST	12		pets.png	1590485828382	1590485828414	OK	 
REQUEST	12		petclinic.css	1590485828380	1590485828416	OK	 
REQUEST	25		pets.png	1590485828348	1590485828417	OK	 
REQUEST	25		petclinic.css	1590485828346	1590485828422	OK	 
REQUEST	12		favicon.png	1590485828379	1590485828429	OK	 
REQUEST	12		spring-pivotal-logo.png	1590485828383	1590485828432	OK	 
USER	Accept	13	START	1590485828505	1590485828505
USER	Reject	26	START	1590485828505	1590485828505
REQUEST	26		Home	1590485828505	1590485828512	OK	 
