ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia22Test	historia22test	1590522786541	 	3.3.1
REQUEST	14		Login	1590522796579	1590522796580	OK	 
USER	DiagnosisCreatedScn	116	START	1590522796688	1590522796688
USER	DiagnosisNotCreatedScn	122	START	1590522796688	1590522796688
REQUEST	116		Home	1590522796690	1590522796696	OK	 
REQUEST	122		Home	1590522796690	1590522796696	OK	 
REQUEST	30		Login	1590522796710	1590522796711	OK	 
REQUEST	15		Login	1590522796710	1590522796711	OK	 
USER	DiagnosisNotCreatedScn	130	START	1590522796831	1590522796831
USER	DiagnosisCreatedScn	123	START	1590522796831	1590522796831
REQUEST	130		Home	1590522796831	1590522796833	OK	 
REQUEST	123		Home	1590522796831	1590522796833	OK	 
REQUEST	37		Login	1590522796873	1590522796874	OK	 
REQUEST	31		Login	1590522796873	1590522796874	OK	 
USER	DiagnosisNotCreatedScn	131	START	1590522796969	1590522796969
USER	DiagnosisCreatedScn	124	START	1590522796969	1590522796969
REQUEST	131		Home	1590522796969	1590522796971	OK	 
REQUEST	124		Home	1590522796969	1590522796971	OK	 
REQUEST	38		Login	1590522797048	1590522797049	OK	 
REQUEST	32		Login	1590522797048	1590522797049	OK	 
USER	DiagnosisNotCreatedScn	132	START	1590522797113	1590522797113
REQUEST	132		Home	1590522797113	1590522797115	OK	 
USER	DiagnosisCreatedScn	125	START	1590522797124	1590522797124
REQUEST	125		Home	1590522797124	1590522797126	OK	 
REQUEST	33		Login	1590522797213	1590522797215	OK	 
REQUEST	39		Login	1590522797213	1590522797215	OK	 
USER	DiagnosisCreatedScn	126	START	1590522797264	1590522797264
USER	DiagnosisNotCreatedScn	133	START	1590522797264	1590522797264
REQUEST	133		Home	1590522797266	1590522797272	OK	 
REQUEST	126		Home	1590522797266	1590522797272	OK	 
REQUEST	40		Login	1590522797368	1590522797369	OK	 
REQUEST	34		Login	1590522797368	1590522797369	OK	 
USER	DiagnosisCreatedScn	127	START	1590522797399	1590522797399
USER	DiagnosisNotCreatedScn	134	START	1590522797399	1590522797399
REQUEST	127		Home	1590522797399	1590522797402	OK	 
REQUEST	134		Home	1590522797399	1590522797402	OK	 
USER	DiagnosisCreatedScn	128	START	1590522797541	1590522797541
USER	DiagnosisNotCreatedScn	135	START	1590522797541	1590522797541
REQUEST	41		Login	1590522797542	1590522797544	OK	 
REQUEST	35		Login	1590522797542	1590522797544	OK	 
REQUEST	135		Home	1590522797543	1590522797547	OK	 
REQUEST	128		Home	1590522797542	1590522797547	OK	 
