ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia21Test	historia21test	1590516206730	 	3.3.1
USER	VetNotCreatedScn	147	START	1590516210646	1590516210646
REQUEST	147		Home	1590516210646	1590516210648	OK	 
REQUEST	122		Home	1590516210646	1590516210648	OK	 
USER	VetCreatedScn	123	START	1590516210681	1590516210681
USER	VetNotCreatedScn	148	START	1590516210681	1590516210681
REQUEST	123		Home	1590516210681	1590516210683	OK	 
REQUEST	148		Home	1590516210681	1590516210683	OK	 
USER	VetNotCreatedScn	149	START	1590516210725	1590516210725
USER	VetCreatedScn	124	START	1590516210725	1590516210725
REQUEST	149		Home	1590516210725	1590516210730	OK	 
REQUEST	124		Home	1590516210726	1590516210730	OK	 
USER	VetNotCreatedScn	150	START	1590516210760	1590516210760
USER	VetCreatedScn	125	START	1590516210760	1590516210760
REQUEST	150		Home	1590516210761	1590516210766	OK	 
REQUEST	125		Home	1590516210761	1590516210766	OK	 
USER	VetCreatedScn	126	START	1590516210802	1590516210802
USER	VetNotCreatedScn	151	START	1590516210802	1590516210802
REQUEST	126		Home	1590516210803	1590516210807	OK	 
REQUEST	151		Home	1590516210803	1590516210807	OK	 
USER	VetCreatedScn	127	START	1590516210845	1590516210845
USER	VetNotCreatedScn	152	START	1590516210845	1590516210845
REQUEST	127		Home	1590516210846	1590516210853	OK	 
REQUEST	152		Home	1590516210846	1590516210854	OK	 
USER	VetNotCreatedScn	178	START	1590516210861	1590516210861
REQUEST	178		Home	1590516210862	1590516210866	OK	 
USER	VetCreatedScn	153	START	1590516210872	1590516210872
REQUEST	153		Home	1590516210873	1590516210875	OK	 
USER	VetNotCreatedScn	179	START	1590516210905	1590516210905
REQUEST	179		Home	1590516210905	1590516210907	OK	 
USER	VetCreatedScn	154	START	1590516210915	1590516210915
REQUEST	154		Home	1590516210915	1590516210917	OK	 
USER	VetNotCreatedScn	180	START	1590516210940	1590516210940
REQUEST	180		Home	1590516210941	1590516210944	OK	 
USER	VetCreatedScn	155	START	1590516210951	1590516210951
REQUEST	155		Home	1590516210951	1590516210953	OK	 
USER	VetNotCreatedScn	181	START	1590516210984	1590516210984
REQUEST	181		Home	1590516210984	1590516210986	OK	 
USER	VetCreatedScn	156	START	1590516210995	1590516210995
REQUEST	156		Home	1590516210995	1590516210997	OK	 
USER	VetCreatedScn	157	START	1590516211030	1590516211030
REQUEST	157		Home	1590516211031	1590516211033	OK	 
USER	VetNotCreatedScn	182	START	1590516211041	1590516211041
REQUEST	182		Home	1590516211042	1590516211044	OK	 
USER	VetCreatedScn	158	START	1590516211073	1590516211073
REQUEST	158		Home	1590516211073	1590516211076	OK	 
USER	VetNotCreatedScn	183	START	1590516211083	1590516211083
REQUEST	183		Home	1590516211084	1590516211086	OK	 
USER	VetCreatedScn	159	START	1590516211116	1590516211116
REQUEST	159		Home	1590516211116	1590516211118	OK	 
USER	VetNotCreatedScn	184	START	1590516211120	1590516211120
REQUEST	184		Home	1590516211120	1590516211123	OK	 
USER	VetCreatedScn	160	START	1590516211152	1590516211152
REQUEST	160		Home	1590516211153	1590516211154	OK	 
USER	VetNotCreatedScn	185	START	1590516211164	1590516211164
REQUEST	185		Home	1590516211164	1590516211166	OK	 
USER	VetCreatedScn	161	START	1590516211195	1590516211195
REQUEST	161		Home	1590516211196	1590516211197	OK	 
USER	VetNotCreatedScn	186	START	1590516211200	1590516211200
REQUEST	186		Home	1590516211200	1590516211202	OK	 
USER	VetCreatedScn	162	START	1590516211230	1590516211230
REQUEST	162		Home	1590516211230	1590516211232	OK	 
USER	VetNotCreatedScn	187	START	1590516211241	1590516211241
REQUEST	187		Home	1590516211241	1590516211243	OK	 
USER	VetCreatedScn	163	START	1590516211272	1590516211272
REQUEST	163		Home	1590516211272	1590516211275	OK	 
USER	VetNotCreatedScn	188	START	1590516211282	1590516211282
REQUEST	188		Home	1590516211283	1590516211285	OK	 
USER	VetCreatedScn	164	START	1590516211314	1590516211314
REQUEST	164		Home	1590516211314	1590516211317	OK	 
USER	VetNotCreatedScn	189	START	1590516211325	1590516211325
REQUEST	189		Home	1590516211325	1590516211328	OK	 
USER	VetCreatedScn	165	START	1590516211350	1590516211350
REQUEST	165		Home	1590516211350	1590516211352	OK	 
