ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosHU12Diagnosis	createreservationtwoscenarioshu12diagnosis	1590419531487	 	3.3.1
USER	FailReservationTwoScenariosHU12	107	START	1590419536772	1590419536772
USER	CreateReservationTwoScenariosHU12	93	START	1590419536776	1590419536776
REQUEST	107		request_0	1590419536774	1590419536787	OK	 
REQUEST	93		request_0	1590419536778	1590419536789	OK	 
USER	FailReservationTwoScenariosHU12	108	START	1590419536846	1590419536846
USER	CreateReservationTwoScenariosHU12	94	START	1590419536846	1590419536846
REQUEST	94		request_0	1590419536848	1590419536858	OK	 
REQUEST	108		request_0	1590419536848	1590419536858	OK	 
USER	CreateReservationTwoScenariosHU12	95	START	1590419536916	1590419536916
USER	FailReservationTwoScenariosHU12	109	START	1590419536916	1590419536916
REQUEST	109		request_0	1590419536918	1590419536930	OK	 
REQUEST	95		request_0	1590419536918	1590419536930	OK	 
USER	CreateReservationTwoScenariosHU12	96	START	1590419536993	1590419536993
USER	FailReservationTwoScenariosHU12	110	START	1590419536992	1590419536992
REQUEST	96		request_0	1590419536994	1590419537005	OK	 
REQUEST	110		request_0	1590419536994	1590419537005	OK	 
USER	FailReservationTwoScenariosHU12	124	START	1590419537056	1590419537056
USER	CreateReservationTwoScenariosHU12	111	START	1590419537056	1590419537056
REQUEST	111		request_0	1590419537058	1590419537069	OK	 
REQUEST	124		request_0	1590419537058	1590419537069	OK	 
USER	CreateReservationTwoScenariosHU12	112	START	1590419537146	1590419537146
USER	FailReservationTwoScenariosHU12	125	START	1590419537146	1590419537146
REQUEST	125		request_0	1590419537147	1590419537157	OK	 
REQUEST	112		request_0	1590419537147	1590419537157	OK	 
USER	FailReservationTwoScenariosHU12	126	START	1590419537232	1590419537232
USER	CreateReservationTwoScenariosHU12	113	START	1590419537232	1590419537232
REQUEST	126		request_0	1590419537234	1590419537244	OK	 
REQUEST	113		request_0	1590419537234	1590419537244	OK	 
USER	FailReservationTwoScenariosHU12	127	START	1590419537293	1590419537293
USER	CreateReservationTwoScenariosHU12	114	START	1590419537294	1590419537294
REQUEST	127		request_0	1590419537295	1590419537320	OK	 
REQUEST	114		request_0	1590419537295	1590419537320	OK	 
USER	CreateReservationTwoScenariosHU12	115	START	1590419537371	1590419537371
USER	FailReservationTwoScenariosHU12	128	START	1590419537371	1590419537371
REQUEST	128		request_0	1590419537373	1590419537384	OK	 
REQUEST	115		request_0	1590419537373	1590419537384	OK	 
USER	CreateReservationTwoScenariosHU12	116	START	1590419537454	1590419537454
USER	FailReservationTwoScenariosHU12	129	START	1590419537454	1590419537454
REQUEST	116		request_0	1590419537455	1590419537466	OK	 
REQUEST	129		request_0	1590419537455	1590419537467	OK	 
USER	FailReservationTwoScenariosHU12	130	START	1590419537526	1590419537526
USER	CreateReservationTwoScenariosHU12	117	START	1590419537526	1590419537526
REQUEST	117		request_0	1590419537527	1590419537541	OK	 
REQUEST	130		request_0	1590419537527	1590419537541	OK	 
USER	CreateReservationTwoScenariosHU12	118	START	1590419537598	1590419537598
USER	FailReservationTwoScenariosHU12	131	START	1590419537598	1590419537598
REQUEST	118		request_0	1590419537599	1590419537610	OK	 
